county,poke_ratio
Bernalillo County,1.506468115202034
Catron County,1.4498115304606238
Chaves County,1.5906233191850598
Cibola County,1.5074944421629022
Colfax County,1.5741090262751163
Curry County,1.5794665661847636
De Baca County,1.6018216098226468
Dona Ana County,1.5918190581484852
Doña Ana County,1.6110652884615386
Eddy County,1.5578552809917356
Grant County,1.5614975254172263
Guadalupe County,1.520113740648379
Hidalgo County,1.5691235211267605
Lea County,1.6850359400544959
Lincoln County,1.5707709898812146
Los Alamos County,1.5962826259632483
Luna County,1.572426310185185
McKinley County,1.7504615708897273
Otero County,1.5747537367098396
Quay County,1.522933797856049
Rio Arriba County,1.5732195282317978
Roosevelt County,1.6121452265988987
San Juan County,1.9605639290350496
San Miguel County,1.5630979390862945
Sandoval County,1.5516362451684154
Santa Fe County,1.5621039630675646
Sierra County,1.6029003610906407
Socorro County,1.536205957542909
Taos County,1.6614756327985738
Torrance County,1.5214204020618558
Union County,1.5732902152641877
Valencia County,1.4986958845437617
