migrant_housing,county,
0,Adair County,40,001
0,Alfalfa County,40,003
1,Atoka County,40,005
3,Beaver County,40,007
0,Beckham County,40,009
9,Blaine County,40,011
12,Bryan County,40,013
17,Caddo County,40,015
45,Canadian County,40,017
3,Carter County,40,019
0,Cherokee County,40,021
12,Choctaw County,40,023
1,Cimarron County,40,025
3,Cleveland County,40,027
1,Coal County,40,029
9,Comanche County,40,031
2,Cotton County,40,033
2,Craig County,40,035
0,Creek County,40,037
5,Custer County,40,039
1,Delaware County,40,041
1,Dewey County,40,043
1,Ellis County,40,045
17,Garfield County,40,047
5,Garvin County,40,049
7,Grady County,40,051
0,Grant County,40,053
0,Greer County,40,055
1,Harmon County,40,057
0,Harper County,40,059
0,Haskell County,40,061
4,Hughes County,40,063
2,Jackson County,40,065
7,Jefferson County,40,067
4,Johnston County,40,069
1,Kay County,40,071
1,Kingfisher County,40,073
1,Kiowa County,40,075
1,Latimer County,40,077
1,Le Flore County,40,079
0,Lincoln County,40,081
0,Logan County,40,083
5,Love County,40,085
11,McClain County,40,087
19,McCurtain County,40,089
3,McIntosh County,40,091
1,Major County,40,093
3,Marshall County,40,095
0,Mayes County,40,097
4,Murray County,40,099
3,Muskogee County,40,101
0,Noble County,40,103
0,Nowata County,40,105
1,Okfuskee County,40,107
14,Oklahoma County,40,109
2,Okmulgee County,40,111
3,Osage County,40,113
3,Ottawa County,40,115
1,Pawnee County,40,117
8,Payne County,40,119
1,Pittsburg County,40,121
2,Pontotoc County,40,123
1,Pottawatomie County,40,125
2,Pushmataha County,40,127
1,Roger Mills County,40,129
2,Rogers County,40,131
2,Seminole County,40,133
3,Sequoyah County,40,135
1,Stephens County,40,137
5,Texas County,40,139
3,Tillman County,40,141
16,Tulsa County,40,143
1,Wagoner County,40,145
1,Washington County,40,147
6,Washita County,40,149
1,Woods County,40,151
9,Woodward County,40,153
