migrant_housing,county,
8,Baker County,41,001
6,Benton County,41,003
30,Clackamas County,41,005
4,Clatsop County,41,007
0,Columbia County,41,009
2,Coos County,41,011
19,Crook County,41,013
0,Curry County,41,015
3,Deschutes County,41,017
0,Douglas County,41,019
2,Gilliam County,41,021
25,Grant County,41,023
13,Harney County,41,025
101,Hood River County,41,027
18,Jackson County,41,029
9,Jefferson County,41,031
3,Josephine County,41,033
9,Klamath County,41,035
20,Lake County,41,037
5,Lane County,41,039
0,Lincoln County,41,041
3,Linn County,41,043
30,Malheur County,41,045
18,Marion County,41,047
2,Morrow County,41,049
2,Multnomah County,41,051
6,Polk County,41,053
0,Sherman County,41,055
0,Tillamook County,41,057
21,Umatilla County,41,059
2,Union County,41,061
1,Wallowa County,41,063
12,Wasco County,41,065
63,Washington County,41,067
1,Wheeler County,41,069
23,Yamhill County,41,071
