county,poke_ratio
Adams County,1.6744324584952315
Allegheny County,1.6195983971308858
Armstrong County,1.5850081472957422
Beaver County,1.6835169358974358
Bedford County,1.5907443530048728
Berks County,1.677412211078038
Blair County,1.6242372676493408
Bradford County,1.644314709677419
Bucks County,1.625343314526307
Butler County,1.5875273145009414
Cambria County,1.5893010116020343
Cameron County,1.6264975
Carbon County,1.696151431842966
Centre County,1.3756056155112493
Chester County,1.6596066684203277
Clarion County,1.635462737047898
Clearfield County,1.7942087523048555
Clinton County,1.8685428421052632
Columbia County,1.6675409720885466
Crawford County,1.6232438773899316
Cumberland County,1.6587620699069907
Dauphin County,1.7324672155770526
Delaware County,1.7122831716129698
Elk County,1.68173585106383
Erie County,1.6304632140135904
Fayette County,1.5935919905423377
Franklin County,1.686471966857143
Fulton County,1.5866157425742577
Greene County,1.5827196413934423
Huntingdon County,1.7134540768094533
Indiana County,1.601838827029324
Jefferson County,1.592851976284585
Juniata County,2.0131257936507936
Lackawanna County,1.6589275736390754
Lancaster County,1.6972121804636946
Lawrence County,1.6630579131109389
Lebanon County,1.7834856047418164
Lehigh County,1.7037022835005344
Luzerne County,1.67630529947736
Lycoming County,1.9641189648546955
McKean County,1.8848789193083582
Mercer County,1.632972971778307
Mifflin County,2.147025351629503
Monroe County,1.619428240657429
Montgomery County,1.6670355481555927
Montour County,1.8408549268645908
Northampton County,1.6763431934823907
Northumberland County,1.8807477408582403
Perry County,1.8089588190954775
Philadelphia County,1.674215950728516
Pike County,1.5894103180581711
Potter County,1.7131120471281296
Schuylkill County,1.66966133285475
Snyder County,2.032771295911296
Somerset County,1.6644489093298291
Sullivan County,1.7605792129629627
Susquehanna County,1.7093273540014415
Tioga County,1.6163320761802578
Union County,2.0404581987991994
Venango County,1.6451050477376505
Warren County,1.6327966044195457
Washington County,1.63707141648154
Wayne County,1.6376874068992555
Westmoreland County,1.58874458995728
Wyoming County,1.6107127528089888
York County,1.7561095767895523
