migrant_housing,county,
1,Adjuntas,72,001
0,Aguada,72,003
1,Aguadilla,72,005
1,Aguas Buenas,72,007
0,Aibonito,72,009
2,Añasco,72,011
2,Arecibo,72,013
0,Arroyo,72,015
1,Barceloneta,72,017
0,Barranquitas,72,019
1,Bayamón,72,021
4,Cabo Rojo,72,023
1,Caguas,72,025
0,Camuy,72,027
1,Canóvanas,72,029
14,Carolina,72,031
1,Cataño,72,033
0,Cayey,72,035
0,Ceiba,72,037
0,Ciales,72,039
0,Cidra,72,041
0,Coamo,72,043
0,Comerío,72,045
0,Corozal,72,047
6,Culebra,72,049
2,Dorado,72,051
2,Fajardo,72,053
0,Florida,72,054
0,Guánica,72,055
0,Guayama,72,057
0,Guayanilla,72,059
6,Guaynabo,72,061
0,Gurabo,72,063
0,Hatillo,72,065
0,Hormigueros,72,067
0,Humacao,72,069
2,Isabela,72,071
2,Jayuya,72,073
0,Juana Díaz,72,075
0,Juncos,72,077
2,Lajas,72,079
0,Lares,72,081
0,Las Marías,72,083
2,Las Piedras,72,085
0,Loíza,72,087
0,Luquillo,72,089
0,Manatí,72,091
0,Maricao,72,093
1,Maunabo,72,095
1,Mayagüez,72,097
0,Moca,72,099
0,Morovis,72,101
0,Naguabo,72,103
0,Naranjito,72,105
0,Orocovis,72,107
0,Patillas,72,109
0,Peñuelas,72,111
3,Ponce,72,113
0,Quebradillas,72,115
2,Rincón,72,117
1,Río Grande,72,119
0,Sabana Grande,72,121
3,Salinas,72,123
4,San Germán,72,125
17,San Juan,72,127
0,San Lorenzo,72,129
1,San Sebastián,72,131
0,Santa Isabel,72,133
0,Toa Alta,72,135
3,Toa Baja,72,137
1,Trujillo Alto,72,139
2,Utuado,72,141
0,Vega Alta,72,143
0,Vega Baja,72,145
4,Vieques,72,147
0,Villalba,72,149
0,Yabucoa,72,151
2,Yauco,72,153
