migrant_housing,county,
0,Abbeville County,45,001
12,Aiken County,45,003
6,Allendale County,45,005
2,Anderson County,45,007
10,Bamberg County,45,009
2,Barnwell County,45,011
34,Beaufort County,45,013
2,Berkeley County,45,015
8,Calhoun County,45,017
29,Charleston County,45,019
9,Cherokee County,45,021
0,Chester County,45,023
11,Chesterfield County,45,025
16,Clarendon County,45,027
34,Colleton County,45,029
5,Darlington County,45,031
13,Dillon County,45,033
3,Dorchester County,45,035
10,Edgefield County,45,037
0,Fairfield County,45,039
6,Florence County,45,041
7,Georgetown County,45,043
7,Greenville County,45,045
0,Greenwood County,45,047
3,Hampton County,45,049
49,Horry County,45,051
0,Jasper County,45,053
4,Kershaw County,45,055
0,Lancaster County,45,057
1,Laurens County,45,059
1,Lee County,45,061
4,Lexington County,45,063
1,McCormick County,45,065
6,Marion County,45,067
2,Marlboro County,45,069
3,Newberry County,45,071
8,Oconee County,45,073
17,Orangeburg County,45,075
8,Pickens County,45,077
5,Richland County,45,079
3,Saluda County,45,081
8,Spartanburg County,45,083
11,Sumter County,45,085
0,Union County,45,087
5,Williamsburg County,45,089
5,York County,45,091
