county,poke_ratio
Abbeville County,1.6447021149751595
Aiken County,1.494351083411063
Allendale County,1.5947564188822572
Anderson County,1.5691044259062044
Bamberg County,1.5592140898655298
Barnwell County,1.536303300522916
Beaufort County,1.5437070772666368
Berkeley County,1.4984562517975266
Calhoun County,1.61988
Charleston County,1.5655917216297979
Cherokee County,1.6249069588227703
Chester County,1.620243552141527
Chesterfield County,1.5944065713625155
Clarendon County,1.5969661980952379
Colleton County,1.6000722564537402
Darlington County,1.6784918427710844
Dillon County,1.682126630286494
Dorchester County,1.595744372495176
Edgefield County,1.605403389288569
Fairfield County,1.65239866027532
Florence County,1.6874168811777075
Georgetown County,1.5859110645192966
Greenville County,1.644156485058859
Greenwood County,1.6686726251563269
Hampton County,1.564790554074074
Horry County,1.632710981316366
Jasper County,1.583359155904059
Kershaw County,1.62538736814802
Lancaster County,1.6216800173583719
Laurens County,1.6449621385956863
Lee County,1.6331899799732978
Lexington County,1.6579672372829728
Marion County,1.6526684927497672
Marlboro County,1.6182500723589002
McCormick County,1.63506259057072
Newberry County,1.6008168612578009
Oconee County,1.485636380052552
Orangeburg County,1.6215122278899345
Pickens County,1.6009678329976984
Richland County,1.6414558344580636
Saluda County,1.6495610076530611
Spartanburg County,1.630777818132851
Sumter County,1.5359683758171367
Union County,1.6458782327399042
Williamsburg County,1.5974783671904946
York County,1.639830164883135
