county,poke_ratio
Beadle County,1.8010479458239275
Bennett County,1.7547353483606558
Bon Homme County,1.7625859411764704
Brookings County,1.7735400029568305
Brown County,1.775625914536027
Brule County,1.7518000729927008
Butte County,1.7633527877237853
Charles Mix County,1.7505837913486002
Clay County,1.665664142222222
Codington County,1.7706246359532354
Custer County,1.7223465447154473
Davison County,1.6975783561643834
Day County,1.80505
Deuel County,1.7913466666666666
Dewey County,1.8050499999999998
Douglas County,1.80235480349345
Fall River County,1.7134246433566434
Faulk County,1.80505
Grant County,1.728973427230047
Gregory County,1.77520301369863
Haakon County,1.7898248522727274
Hughes County,1.7782321122647629
Hutchinson County,1.7887875488454708
Jackson County,1.5410748780487804
Jerauld County,1.7148216049382716
Kingsbury County,1.7970388205128205
Lake County,1.7888895172413792
Lawrence County,1.6843714942528736
Lincoln County,1.7823045390674903
Marshall County,1.641710756302521
McCook County,1.7724853370786517
McPherson County,1.80505
Meade County,1.6438724735915493
Minnehaha County,1.7931926951010166
Moody County,1.5552031472081222
Pennington County,1.638730614877315
Perkins County,1.80505
Roberts County,1.2895243749999998
Shannon County,1.656953670411985
Spink County,1.8050500000000003
Todd County,1.8396098961038962
Tripp County,1.7334503066037734
Turner County,1.799389927536232
Union County,1.6656357237105157
Walworth County,1.7772293103448278
Yankton County,1.6818636302637668
