migrant_housing,county,
1,Beaver County,49,001
30,Box Elder County,49,003
0,Cache County,49,005
1,Carbon County,49,007
1,Daggett County,49,009
1,Davis County,49,011
9,Duchesne County,49,013
5,Emery County,49,015
37,Garfield County,49,017
7,Grand County,49,019
8,Iron County,49,021
3,Juab County,49,023
5,Kane County,49,025
12,Millard County,49,027
2,Morgan County,49,029
4,Piute County,49,031
3,Rich County,49,033
5,Salt Lake County,49,035
4,San Juan County,49,037
6,Sanpete County,49,039
1,Sevier County,49,041
3,Summit County,49,043
3,Tooele County,49,045
44,Uintah County,49,047
19,Utah County,49,049
4,Wasatch County,49,051
10,Washington County,49,053
2,Wayne County,49,055
2,Weber County,49,057
