county,poke_ratio
Beaver County,1.6045200000000004
Box Elder County,1.5776740011750883
Cache County,1.5334975045984058
Carbon County,1.4356239166666669
Davis County,1.52951494734931
Duchesne County,1.7538267835051546
Emery County,1.434554598540146
Garfield County,1.5961853846153848
Grand County,1.4474416819012799
Iron County,1.6238383448275866
Juab County,1.6089044299674269
Kane County,1.6045200000000004
Millard County,1.707172894736842
Morgan County,1.5556406976744186
Salt Lake County,1.551891941056111
San Juan County,1.3117148846153845
Sanpete County,1.5009644256455923
Sevier County,1.544229515151515
Summit County,1.5813151065162907
Tooele County,1.4967738544860008
Uintah County,1.5998183199999998
Utah County,1.5691325068461515
Wasatch County,1.5458959197324416
Washington County,1.4955875503183782
Wayne County,1.5568181818181819
Weber County,1.5250186543635607
