migrant_housing,county,
66,Accomack County,51,001
15,Albemarle County,51,003
0,Alleghany County,51,005
2,Amelia County,51,007
0,Amherst County,51,009
5,Appomattox County,51,011
8,Arlington County,51,013
6,Augusta County,51,015
1,Bath County,51,017
4,Bedford County,51,019
0,Bland County,51,021
0,Botetourt County,51,023
15,Brunswick County,51,025
1,Buchanan County,51,027
0,Buckingham County,51,029
9,Campbell County,51,031
0,Caroline County,51,033
6,Carroll County,51,035
0,Charles City County,51,036
7,Charlotte County,51,037
11,Chesterfield County,51,041
1,Clarke County,51,043
0,Craig County,51,045
0,Culpeper County,51,047
1,Cumberland County,51,049
0,Dickenson County,51,051
5,Dinwiddie County,51,053
1,Essex County,51,057
23,Fairfax County,51,059
4,Fauquier County,51,061
2,Floyd County,51,063
0,Fluvanna County,51,065
6,Franklin County,51,067
17,Frederick County,51,069
0,Giles County,51,071
1,Gloucester County,51,073
0,Goochland County,51,075
19,Grayson County,51,077
0,Greene County,51,079
1,Greensville County,51,081
22,Halifax County,51,083
1,Hanover County,51,085
11,Henrico County,51,087
2,Henry County,51,089
0,Highland County,51,091
3,Isle of Wight County,51,093
4,James City County,51,095
1,King and Queen County,51,097
4,King George County,51,099
0,King William County,51,101
5,Lancaster County,51,103
6,Lee County,51,105
9,Loudoun County,51,107
1,Louisa County,51,109
8,Lunenburg County,51,111
2,Madison County,51,113
2,Mathews County,51,115
18,Mecklenburg County,51,117
4,Middlesex County,51,119
3,Montgomery County,51,121
8,Nelson County,51,125
2,New Kent County,51,127
35,Northampton County,51,131
6,Northumberland County,51,133
0,Nottoway County,51,135
3,Orange County,51,137
7,Page County,51,139
15,Patrick County,51,141
77,Pittsylvania County,51,143
0,Powhatan County,51,145
2,Prince Edward County,51,147
0,Prince George County,51,149
2,Prince William County,51,153
2,Pulaski County,51,155
1,Rappahannock County,51,157
2,Richmond County,51,159
0,Roanoke County,51,161
2,Rockbridge County,51,163
7,Rockingham County,51,165
13,Russell County,51,167
1,Scott County,51,169
3,Shenandoah County,51,171
2,Smyth County,51,173
1,Southampton County,51,175
2,Spotsylvania County,51,177
0,Stafford County,51,179
4,Surry County,51,181
2,Sussex County,51,183
6,Tazewell County,51,185
0,Warren County,51,187
7,Washington County,51,191
8,Westmoreland County,51,193
0,Wise County,51,195
2,Wythe County,51,197
0,York County,51,199
3,Alexandria city,51,510
0,Bedford city,51,515
0,Bristol city,51,520
0,Buena Vista city,51,530
0,Charlottesville city,51,540
5,Chesapeake city,51,550
0,Colonial Heights city,51,570
0,Covington city,51,580
2,Danville city,51,590
0,Emporia city,51,595
1,Fairfax city,51,600
0,Falls Church city,51,610
0,Franklin city,51,620
0,Fredericksburg city,51,630
0,Galax city,51,640
0,Hampton city,51,650
1,Harrisonburg city,51,660
2,Hopewell city,51,670
0,Lexington city,51,678
0,Lynchburg city,51,680
1,Manassas city,51,683
0,Manassas Park city,51,685
0,Martinsville city,51,690
0,Newport News city,51,700
5,Norfolk city,51,710
0,Norton city,51,720
1,Petersburg city,51,730
0,Poquoson city,51,735
0,Portsmouth city,51,740
0,Radford city,51,750
1,Richmond city,51,760
2,Roanoke city,51,770
0,Salem city,51,775
0,Staunton city,51,790
0,Suffolk city,51,800
7,Virginia Beach city,51,810
0,Waynesboro city,51,820
12,Williamsburg city,51,830
0,Winchester city,51,840
