county,poke_ratio
Accomack County,1.6327371842650102
Albemarle County,1.6344348333096894
Alexandria City,1.606810445228237
Alleghany County,1.6487390659504624
Amelia County,1.637840293809024
Amherst County,1.5299257702349869
Appomattox County,1.61988
Arlington County,1.6152499267471787
Augusta County,1.6721878821787062
Bath County,1.6269829239766083
Bedford City,1.6313905226542988
Bedford County,1.6258315801011807
Bland County,1.5743666842105262
Botetourt County,1.62570069965561
Bristol City,1.614427273151388
Brunswick County,1.6182402502780866
Buchanan County,1.6143673416024136
Buckingham County,1.5966045715567518
Buena Vista City,1.6517890909090907
Campbell County,1.6235462125340598
Caroline County,1.5666095534082007
Carroll County,1.6493644841486002
Charles City County,1.5957367317073168
Charlotte County,1.6225779436450838
Charlottesville City,1.6445235739887352
Chesapeake City,1.6770808830116246
Chesterfield County,1.5978176921786773
Clarke County,1.6053486706948643
Colonial Heights City,1.6057025090036015
Craig County,1.6235609595959595
Culpeper County,1.600795567239636
Cumberland County,1.61988
Danville City,1.6408697647133839
Dickenson County,1.61600843003413
Dinwiddie County,1.5849207248834252
Emporia City,1.672242186836518
Essex County,1.5603833653615184
Fairfax County,1.5929014617759705
Falls Church City,1.574622815329543
Fauquier County,1.5803049847728894
Floyd County,1.5510544484412467
Fluvanna County,1.6042748960302455
Franklin City,1.6233969886721211
Franklin County,1.6205290039982863
Frederick County,1.6103188589743587
Fredericksburg City,1.564516522315092
Galax City,1.643752297490017
Giles County,1.6326924095730218
Gloucester County,1.585504161667193
Goochland County,1.6014814873035066
Grayson County,1.613002781862745
Greene County,1.6198799999999998
Halifax County,1.6377797140303845
Hampton City,1.6168348817755969
Hanover County,1.596385508923904
Harrisonburg City,1.6390726365851742
Henrico County,1.6189526974016628
Henry County,1.6100644736842105
Highland County,1.6211312953367878
Hopewell City,1.6039578660763698
Isle of Wight County,1.659326803945746
James City County,1.60242960971016
King George County,1.5726390417690415
King William County,1.5613689513296538
King and Queen County,1.5621007653061223
Lancaster County,1.5978875157232704
Lee County,1.608298782642089
Loudoun County,1.5934576894409938
Louisa County,1.5839164678312738
Lunenburg County,1.6227356664951105
Lynchburg City,1.6330121228743826
Madison County,1.607179306930693
Manassas City,1.5865433812272824
Martinsville City,1.6122848423141953
Mathews County,1.619350160771704
Mecklenburg County,1.6197545888505622
Middlesex County,1.5882350377487988
Montgomery County,1.6431821419969346
Nelson County,1.5971025789473685
New Kent County,1.5134135110844817
Newport News City,1.6151713799485032
Norfolk City,1.715795433639013
Northampton County,1.707405469565217
Northumberland County,1.5859087909979064
Norton City,1.6324715722082284
Nottoway County,1.6164811714285716
Orange County,1.5952239514788966
Page County,1.6006184353348727
Patrick County,1.6132922755417956
Petersburg City,1.5972206817090735
Pittsylvania County,1.6470258157894737
Portsmouth City,1.677546861319177
Powhatan County,1.6300696904761907
Prince Edward County,1.6030949915254238
Prince George County,1.62849826879593
Prince William County,1.5863467636699382
Pulaski County,1.6234148071759826
Radford City,1.6452813516699407
Rappahannock County,1.5680817043121151
Richmond City,1.6521178923565294
Richmond County,1.491098798185941
Roanoke City,1.6550781177558804
Roanoke County,1.6479124966170502
Rockbridge County,1.6557863268777806
Rockingham County,1.6407688683487385
Russell County,1.630493401759531
Salem City,1.650671097949152
Scott County,1.67162563654224
Shenandoah County,1.5980265617660872
Smyth County,1.6220542615384614
Southampton County,1.6530612896825398
Spotsylvania County,1.5463297519995396
Stafford County,1.5745075244080349
Staunton City,1.6721337188663037
Suffolk City,1.7139390238555094
Sussex County,1.6287553188405797
Tazewell County,1.5980474881877762
Virginia Beach City,1.6723568050479773
Warren County,1.6235397654497246
Washington County,1.649230329849574
Waynesboro City,1.649533483394834
Westmoreland County,1.563787136507936
Williamsburg City,1.635550974751656
Winchester City,1.6122982773421228
Wise County,1.6276128551881415
Wythe County,1.565464750702247
York County,1.5417252048726466
