migrant_housing,county,
7,Adams County,53,001
2,Asotin County,53,003
11,Benton County,53,005
267,Chelan County,53,007
2,Clallam County,53,009
2,Clark County,53,011
0,Columbia County,53,013
0,Cowlitz County,53,015
268,Douglas County,53,017
0,Ferry County,53,019
65,Franklin County,53,021
0,Garfield County,53,023
133,Grant County,53,025
9,Grays Harbor County,53,027
0,Island County,53,029
4,Jefferson County,53,031
43,King County,53,033
12,Kitsap County,53,035
1,Kittitas County,53,037
6,Klickitat County,53,039
6,Lewis County,53,041
4,Lincoln County,53,043
9,Mason County,53,045
278,Okanogan County,53,047
5,Pacific County,53,049
0,Pend Oreille County,53,051
4,Pierce County,53,053
5,San Juan County,53,055
42,Skagit County,53,057
4,Skamania County,53,059
12,Snohomish County,53,061
12,Spokane County,53,063
2,Stevens County,53,065
0,Thurston County,53,067
0,Wahkiakum County,53,069
6,Walla Walla County,53,071
55,Whatcom County,53,073
6,Whitman County,53,075
46,Yakima County,53,077
