county,poke_ratio
Adams County,1.6782264685763146
Asotin County,1.3541524660411708
Benton County,1.6668628954002411
Chelan County,1.844517744677439
Clallam County,1.543997395609126
Clark County,1.6166439859642467
Columbia County,1.6293758317757008
Cowlitz County,1.5969168571428571
Douglas County,1.881667749955916
Ferry County,1.6560485377358494
Franklin County,1.61865866353544
Grant County,1.7682327860367801
Grays Harbor County,1.5795638941733188
Island County,1.5986643770764124
Jefferson County,1.6083640210843377
King County,1.5995427973491454
Kitsap County,1.5884343812716406
Kittitas County,1.6604591302258531
Klickitat County,1.5745010547875062
Lewis County,1.6101793524774775
Lincoln County,1.5969612252252252
Mason County,1.601343270752521
Okanogan County,1.8016531356878918
Pacific County,1.599135064469914
Pend Oreille County,1.6231161157024792
Pierce County,1.6301505637661906
San Juan County,1.6038228745928338
Skagit County,1.6200913227023093
Snohomish County,1.6165604374169544
Spokane County,1.6183616516002346
Stevens County,1.6223914268398267
Thurston County,1.610905133835268
Walla Walla County,1.6420017972275953
Whatcom County,1.5949009271541181
Whitman County,1.5867370977653632
Yakima County,1.7050736112413023
