migrant_housing,county,
4,Adams County,55,001
0,Ashland County,55,003
9,Barron County,55,005
6,Bayfield County,55,007
0,Brown County,55,009
18,Buffalo County,55,011
1,Burnett County,55,013
0,Calumet County,55,015
2,Chippewa County,55,017
2,Clark County,55,019
3,Columbia County,55,021
6,Crawford County,55,023
1,Dane County,55,025
11,Dodge County,55,027
23,Door County,55,029
0,Douglas County,55,031
2,Dunn County,55,033
1,Eau Claire County,55,035
0,Florence County,55,037
7,Fond du Lac County,55,039
1,Forest County,55,041
0,Grant County,55,043
1,Green County,55,045
5,Green Lake County,55,047
0,Iowa County,55,049
0,Iron County,55,051
4,Jackson County,55,053
4,Jefferson County,55,055
1,Juneau County,55,057
0,Kenosha County,55,059
0,Kewaunee County,55,061
2,La Crosse County,55,063
0,Lafayette County,55,065
0,Langlade County,55,067
0,Lincoln County,55,069
6,Manitowoc County,55,071
7,Marathon County,55,073
2,Marinette County,55,075
10,Marquette County,55,077
0,Menominee County,55,078
6,Milwaukee County,55,079
1,Monroe County,55,081
0,Oconto County,55,083
2,Oneida County,55,085
1,Outagamie County,55,087
0,Ozaukee County,55,089
0,Pepin County,55,091
0,Pierce County,55,093
1,Polk County,55,095
12,Portage County,55,097
0,Price County,55,099
6,Racine County,55,101
3,Richland County,55,103
2,Rock County,55,105
2,Rusk County,55,107
3,St. Croix County,55,109
4,Sauk County,55,111
4,Sawyer County,55,113
0,Shawano County,55,115
0,Sheboygan County,55,117
2,Taylor County,55,119
5,Trempealeau County,55,121
3,Vernon County,55,123
3,Vilas County,55,125
8,Walworth County,55,127
2,Washburn County,55,129
1,Washington County,55,131
3,Waukesha County,55,133
4,Waupaca County,55,135
29,Waushara County,55,137
1,Winnebago County,55,139
2,Wood County,55,141
