county,poke_ratio
Adams County,1.812124894117647
Ashland County,1.3950242381826528
Barron County,1.795431414786804
Bayfield County,1.377691338582677
Brown County,1.6015550850918996
Buffalo County,1.4971055882352942
Burnett County,1.3486978571428572
Calumet County,1.6370514678899086
Chippewa County,1.7663711966569586
Clark County,1.8194904878048777
Columbia County,1.5622151742344246
Crawford County,1.440478310991957
Dane County,1.5325532874802053
Dodge County,1.6338641607843136
Door County,1.6390562702345555
Douglas County,1.5032361511546537
Dunn County,1.6569297260273974
Eau Claire County,1.6560840178173721
Fond du Lac County,1.7007210091362126
Forest County,1.7201900313479626
Grant County,1.5446874285714287
Green County,1.658248203309693
Green Lake County,1.7035480616174585
Iowa County,1.65888
Iron County,1.8245633125
Jackson County,1.6436067533081287
Jefferson County,1.6992285633270325
Juneau County,1.6748208984830806
Kenosha County,1.622372913907285
Kewaunee County,1.4815524581005588
La Crosse County,1.3718008330452818
Lafayette County,1.48664
Langlade County,1.7800122357723578
Lincoln County,1.7909806828113626
Manitowoc County,1.6604516771106301
Marathon County,1.760647168707117
Marinette County,1.66318708151627
Marquette County,1.7184099999999998
Menominee County,1.6101723679727429
Milwaukee County,1.6712413382950868
Monroe County,1.3020235041551247
Oconto County,1.5478743263473056
Oneida County,1.8171293143365987
Outagamie County,1.6871769262295082
Ozaukee County,1.6595893445318084
Pepin County,1.6965382151589243
Pierce County,1.48664
Polk County,1.381251212757029
Portage County,1.8092503430721563
Price County,1.7894128918590522
Racine County,1.666447407553957
Richland County,1.5976728564749882
Rock County,1.5290595827196858
Rusk County,1.8183937061029667
Sauk County,1.5576463045912654
Sawyer County,1.428813881967213
Shawano County,1.6866612316715541
Sheboygan County,1.6392924113434217
St. Croix County,1.4910752293577987
Taylor County,1.7877784434654922
Trempealeau County,1.6459808415841586
Vernon County,1.4808665
Vilas County,1.7447691005291006
Walworth County,1.6419611799267961
Washburn County,1.4390012038053421
Washington County,1.6471789778121206
Waukesha County,1.649163903397883
Waupaca County,1.599742261353105
Waushara County,1.6742043461538463
Winnebago County,1.6936051725800896
Wood County,1.8375863621100703
