migrant_housing,county,
0,Barbour County,54,001
8,Berkeley County,54,003
0,Boone County,54,005
0,Braxton County,54,007
1,Brooke County,54,009
0,Cabell County,54,011
1,Calhoun County,54,013
0,Clay County,54,015
0,Doddridge County,54,017
0,Fayette County,54,019
0,Gilmer County,54,021
1,Grant County,54,023
2,Greenbrier County,54,025
0,Hampshire County,54,027
1,Hancock County,54,029
0,Hardy County,54,031
1,Harrison County,54,033
1,Jackson County,54,035
1,Jefferson County,54,037
8,Kanawha County,54,039
1,Lewis County,54,041
0,Lincoln County,54,043
0,Logan County,54,045
3,McDowell County,54,047
1,Marion County,54,049
1,Marshall County,54,051
1,Mason County,54,053
3,Mercer County,54,055
0,Mineral County,54,057
0,Mingo County,54,059
75,Monongalia County,54,061
0,Monroe County,54,063
0,Morgan County,54,065
0,Nicholas County,54,067
0,Ohio County,54,069
0,Pendleton County,54,071
0,Pleasants County,54,073
0,Pocahontas County,54,075
0,Preston County,54,077
0,Putnam County,54,079
3,Raleigh County,54,081
1,Randolph County,54,083
0,Ritchie County,54,085
1,Roane County,54,087
0,Summers County,54,089
0,Taylor County,54,091
0,Tucker County,54,093
0,Tyler County,54,095
0,Upshur County,54,097
1,Wayne County,54,099
1,Webster County,54,101
0,Wetzel County,54,103
0,Wirt County,54,105
0,Wood County,54,107
1,Wyoming County,54,109
