county,poke_ratio
Barbour County,1.521195533230294
Berkeley County,1.6236412944539107
Boone County,1.6289254775458568
Braxton County,1.5834220438845996
Brooke County,2.036269833333333
Cabell County,1.753430554878874
Calhoun County,1.642955463659148
Clay County,1.6125607007575757
Doddridge County,1.5126367621776502
Fayette County,1.581779096191598
Gilmer County,1.5769045623707787
Grant County,1.5489388379942142
Greenbrier County,1.575904783837793
Hampshire County,1.5459824484026012
Hancock County,1.7882946079881654
Hardy County,1.5611681919642855
Harrison County,1.5265814816393644
Jackson County,1.6812252454169132
Jefferson County,1.6077905968586388
Kanawha County,1.676350871030763
Lewis County,1.560903114330057
Lincoln County,1.6548451466336227
Logan County,1.6986632755376345
Marion County,1.6262223062538956
Marshall County,1.6222675534441806
Mason County,1.6934645367412138
McDowell County,1.5357918612334804
Mercer County,1.5790498938368367
Mineral County,1.5374837251908395
Mingo County,1.6692414637391884
Monongalia County,1.5925225172754196
Monroe County,1.529488720686767
Morgan County,1.5920016688283614
Nicholas County,1.5477418652379222
Ohio County,1.6878337399161019
Pendleton County,1.5189922386425838
Pleasants County,1.5376151020408164
Pocahontas County,1.5627089214175656
Preston County,1.5692689782886335
Putnam County,1.6648896613155835
Raleigh County,1.562560562019604
Randolph County,1.5356626788901513
Ritchie County,1.5138025567502988
Roane County,1.6203903701687536
Summers County,1.5351086870897153
Taylor County,1.529976253117207
Tucker County,1.5360917593790429
Tyler County,1.5747386666666665
Upshur County,1.5564456112224445
Wayne County,1.7115993552750226
Webster County,1.5388356144144144
Wetzel County,1.613348048523207
Wirt County,1.5538003855140183
Wood County,1.609422461885092
Wyoming County,1.5109239305187723
