state,poke_ratio
PR,1.6990515283803327
MD,1.6116931062130559
AL,1.6368463270390383
GA,1.6535935361092475
FL,1.6823107613614721
TX,1.650612058273514
CA,1.4602985605813559
SC,1.6114294393999409
NC,1.6477512437069179
OH,1.7512660759699006
IL,1.5776810489212452
IN,1.6867245442202756
CO,1.6469077911521246
AZ,1.6225069499807774
VA,1.6232506879977513
NH,1.7515009620017097
NV,1.5636089301015099
MA,1.7747482394585699
HI,1.7887699329916633
NY,1.6569644020584346
WA,1.6306707186060325
MI,1.5875368085220329
MO,1.6048549688098672
PA,1.6743017397150977
IA,1.6027161555871521
OR,1.6379735997335023
NE,1.6038734941480199
CT,1.7049369149892479
NM,1.5577040174070718
DC,1.6507595620345206
NJ,1.6190672850859713
UT,1.5419253764945431
DE,1.6248924869541599
MS,1.6468948084144543
TN,1.6414973484062489
KS,1.6116556296071081
KY,1.6667801062570828
RI,1.7659711863024081
OK,1.7307170577477864
AK,1.5586664903591014
SD,1.7386676242087007
MN,1.572635346571355
LA,1.6665596778723764
ID,1.5855901709931275
WI,1.6602187960728383
WY,1.5683611327815308
AP,1.4680619677419353
MT,1.6151781114588166
WV,1.6210067838180213
ME,1.7494447791266889
AR,1.6347095276751684
AS,1.7604837864077669
GU,1.7764309682966153
VT,1.596820181635725
ND,1.3944800040303909
